Date,Temperaturas núcleo (avg) [°C],Relojes núcleo (avg) [MHz],Uso núcleo (avg) [%],Uso núcleo (avg) [%]
2.7.2025,38,3048.8,1.6,3.3
2.7.2025,38,3048.8,1.6,3.3
2.7.2025,77,3803.2,40.6,114.5
2.7.2025,80,3759.6,100.0,185.7
2.7.2025,84,3778.3,100.0,185.5
2.7.2025,87,3784.5,100.0,185.3

2.7.2025,87,3784.5,100.0,185.3
2.7.2025,87,3784.5,100.0,185.3
2.7.2025,87,3784.5,100.0,185.3
2.7.2025,87,3784.5,100.0,185.3

Date,Temperaturas nÃºcleo (avg) [Â°C],Relojes nÃºcleo (avg) [MHz],Uso nÃºcleo (avg) [%],UtilizaciÃ³n nÃºcleo (avg) [%]
,CPU [#0]: Intel Core i7-13700: DTS,CPU [#0]: Intel Core i7-13700,CPU [#0]: Intel Core i7-13700,CPU [#0]: Intel Core i7-13700
